Wavelength (nm)	P02 abs N
533.40	0.035697
533.60	0.035610
533.80	0.035438
534.00	0.035489
534.20	0.035766
534.40	0.035593
534.60	0.035317
534.80	0.035334
535.00	0.035368
535.20	0.035507
535.40	0.035006
535.60	0.035040
535.80	0.035230
536.00	0.035230
536.20	0.035109
536.40	0.035213
536.60	0.035196
536.80	0.034798
537.00	0.034988
537.20	0.035109
537.40	0.034954
537.60	0.034781
537.80	0.034971
538.00	0.034695
538.20	0.034729
538.40	0.034746
538.60	0.034781
538.80	0.034591
539.00	0.034833
539.20	0.034867
539.40	0.034453
539.60	0.034453
539.80	0.034591
540.00	0.034677
540.20	0.034487
540.40	0.034798
540.60	0.034867
540.80	0.034505
541.00	0.034798
541.20	0.034591
541.40	0.034470
541.60	0.034349
541.80	0.034556
542.00	0.034712
542.20	0.034401
542.40	0.034574
542.60	0.034384
542.80	0.034349
543.00	0.034263
543.20	0.034556
543.40	0.034660
543.60	0.034470
543.80	0.034349
544.00	0.034712
544.20	0.034314
544.40	0.034280
544.60	0.034660
544.80	0.033658
545.00	0.033070
545.20	0.034574
545.40	0.034729
545.60	0.034453
545.80	0.034263
546.00	0.033554
546.20	0.034574
546.40	0.034522
546.60	0.034280
546.80	0.034021
547.00	0.033762
547.20	0.034245
547.40	0.034090
547.60	0.034280
547.80	0.034176
548.00	0.034453
548.20	0.034142
548.40	0.034280
548.60	0.034349
548.80	0.034142
549.00	0.034263
549.20	0.034228
549.40	0.034435
549.60	0.034470
549.80	0.034712
550.00	0.033658
550.20	0.034781
550.40	0.034021
550.60	0.034280
550.80	0.033934
551.00	0.034055
551.20	0.034470
551.40	0.034384
551.60	0.033986
551.80	0.034021
552.00	0.034332
552.20	0.034159
552.40	0.034505
552.60	0.033986
552.80	0.034159
553.00	0.034142
553.20	0.034314
553.40	0.033883
553.60	0.033952
553.80	0.034159
554.00	0.034055
554.20	0.033865
554.40	0.034384
554.60	0.034159
554.80	0.033883
555.00	0.034073
555.20	0.034159
555.40	0.034021
555.60	0.034228
555.80	0.034159
556.00	0.033952
556.20	0.034073
556.40	0.033986
556.60	0.033744
556.80	0.033883
557.00	0.033917
557.20	0.033900
557.40	0.033848
557.60	0.033848
557.80	0.033641
558.00	0.033347
558.20	0.033381
558.40	0.033986
558.60	0.033831
558.80	0.033537
559.00	0.033572
559.20	0.033312
559.40	0.033554
559.60	0.033589
559.80	0.033658
560.00	0.033727
560.20	0.033537
560.40	0.033641
560.60	0.033813
560.80	0.033468
561.00	0.033710
561.20	0.033865
561.40	0.033330
561.60	0.033416
561.80	0.033468
562.00	0.033105
562.20	0.032967
562.40	0.033692
562.60	0.033779
562.80	0.033157
563.00	0.033347
563.20	0.033485
563.40	0.033433
563.60	0.033347
563.80	0.033209
564.00	0.033157
564.20	0.033381
564.40	0.033157
564.60	0.032967
564.80	0.032915
565.00	0.033589
565.20	0.032967
565.40	0.032656
565.60	0.033502
565.80	0.032967
566.00	0.032708
566.20	0.032345
566.40	0.032345
566.60	0.032708
566.80	0.032846
567.00	0.032777
567.20	0.032811
567.40	0.033070
567.60	0.033312
567.80	0.032915
568.00	0.032379
568.20	0.032362
568.40	0.033157
568.60	0.033001
568.80	0.032829
569.00	0.031757
569.20	0.032708
569.40	0.032673
569.60	0.032258
569.80	0.032379
570.00	0.032345
570.20	0.033105
570.40	0.032483
570.60	0.032293
570.80	0.032466
571.00	0.032397
571.20	0.032258
571.40	0.032466
571.60	0.032414
571.80	0.031913
572.00	0.031947
572.20	0.032224
572.40	0.032189
572.60	0.032016
572.80	0.032466
573.00	0.031965
573.20	0.031636
573.40	0.032068
573.60	0.031982
573.80	0.031619
574.00	0.031999
574.20	0.031965
574.40	0.031792
574.60	0.031896
574.80	0.031705
575.00	0.031826
575.20	0.031809
575.40	0.031723
575.60	0.031723
575.80	0.031740
576.00	0.031809
576.20	0.031896
576.40	0.031826
576.60	0.031498
576.80	0.031602
577.00	0.031654
577.20	0.030772
577.40	0.030928
577.60	0.031723
577.80	0.031705
578.00	0.031619
578.20	0.031515
578.40	0.031550
578.60	0.031274
578.80	0.031688
579.00	0.031153
579.20	0.031481
579.40	0.031775
579.60	0.031515
579.80	0.030963
580.00	0.031464
580.20	0.031049
580.40	0.031049
580.60	0.031308
580.80	0.031118
581.00	0.031464
581.20	0.030876
581.40	0.031481
581.60	0.031239
581.80	0.030928
582.00	0.030911
582.20	0.031222
582.40	0.031032
582.60	0.031239
582.80	0.031291
583.00	0.031239
583.20	0.030997
583.40	0.031118
583.60	0.030807
583.80	0.031049
584.00	0.031118
584.20	0.030997
584.40	0.030876
584.60	0.030876
584.80	0.030997
585.00	0.031083
585.20	0.030669
585.40	0.030945
585.60	0.031083
585.80	0.030911
586.00	0.030824
586.20	0.030669
586.40	0.030686
586.60	0.030410
586.80	0.030772
587.00	0.030963
587.20	0.030772
587.40	0.030392
587.60	0.030772
587.80	0.030513
588.00	0.030220
588.20	0.030669
588.40	0.030427
588.60	0.030168
588.80	0.030772
589.00	0.030340
589.20	0.030289
589.40	0.030444
589.60	0.030133
589.80	0.029805
590.00	0.030531
590.20	0.030185
590.40	0.029891
590.60	0.029995
590.80	0.030081
591.00	0.029978
591.20	0.029770
591.40	0.030254
591.60	0.029701
591.80	0.029874
592.00	0.029839
592.20	0.029805
592.40	0.029338
592.60	0.029649
592.80	0.029753
593.00	0.029684
593.20	0.029528
593.40	0.029615
593.60	0.029235
593.80	0.029269
594.00	0.029563
594.20	0.029338
594.40	0.029114
594.60	0.029079
594.80	0.029183
595.00	0.029287
595.20	0.028976
595.40	0.028993
595.60	0.029407
595.80	0.029010
596.00	0.028837
596.20	0.029096
596.40	0.028751
596.60	0.028716
596.80	0.028872
597.00	0.028544
597.20	0.028267
597.40	0.027939
597.60	0.027956
597.80	0.028647
598.00	0.028544
598.20	0.028768
598.40	0.028440
598.60	0.028526
598.80	0.028803
599.00	0.028284
599.20	0.027939
599.40	0.027731
599.60	0.027818
599.80	0.027127
600.00	0.027541
600.20	0.027887
600.40	0.028319
600.60	0.027991
600.80	0.027956
601.00	0.027282
601.20	0.027490
601.40	0.027420
601.60	0.027179
601.80	0.026989
602.00	0.026453
602.20	0.027161
602.40	0.027179
602.60	0.027369
602.80	0.027092
603.00	0.026712
603.20	0.027490
603.40	0.026937
603.60	0.026712
603.80	0.026781
604.00	0.026487
604.20	0.026626
604.40	0.026263
604.60	0.025727
604.80	0.025589
605.00	0.026436
605.20	0.026349
605.40	0.026608
605.60	0.026142
605.80	0.026107
606.00	0.025969
606.20	0.025658
606.40	0.025554
606.60	0.025554
606.80	0.025433
607.00	0.024898
607.20	0.024483
607.40	0.025883
607.60	0.025313
607.80	0.025313
608.00	0.025382
608.20	0.024898
608.40	0.024639
608.60	0.025019
