Wavelength (nm)	R06 abs N
589.50	0.050847
589.75	0.052122
590.00	0.050879
590.25	0.049620
590.50	0.049309
590.75	0.047189
591.00	0.046990
591.25	0.043579
591.50	0.044145
591.75	0.042998
592.00	0.043938
592.25	0.041739
592.50	0.041197
592.75	0.041332
593.00	0.039739
593.25	0.039563
593.50	0.035380
593.75	0.037723
594.00	0.037284
594.25	0.036862
594.50	0.034838
594.75	0.033691
595.00	0.034392
595.25	0.033635
595.50	0.032591
595.75	0.029850
596.00	0.030575
596.25	0.031188
596.50	0.029228
596.75	0.028551
597.00	0.029141
597.25	0.030177
597.50	0.025882
597.75	0.027587
598.00	0.026567
598.25	0.028145
598.50	0.025770
598.75	0.024328
599.00	0.027061
599.25	0.025419
599.50	0.025794
599.75	0.024065
600.00	0.023427
600.25	0.023387
600.50	0.022081
600.75	0.022551
601.00	0.018431
601.25	0.020598
601.50	0.021252
601.75	0.021284
602.00	0.019132
602.25	0.020192
602.50	0.020057
602.75	0.018566
603.00	0.018718
603.25	0.018511
603.50	0.017730
603.75	0.016192
604.00	0.017029
604.25	0.018208
604.50	0.016072
604.75	0.015905
605.00	0.017642
605.25	0.016941
605.50	0.014407
605.75	0.014503
606.00	0.016901
606.25	0.014447
606.50	0.013985
606.75	0.014909
607.00	0.014901
607.25	0.013044
607.50	0.013578
607.75	0.013299
608.00	0.013777
608.25	0.012989
608.50	0.011259
608.75	0.013419
609.00	0.011801
609.25	0.011905
609.50	0.012542
609.75	0.011769
610.00	0.013204
610.25	0.012192
610.50	0.012869
610.75	0.010941
611.00	0.0091876
611.25	0.010662
611.50	0.0090442
611.75	0.0096020
612.00	0.0086059
612.25	0.010973
612.50	0.010957
612.75	0.010662
613.00	0.010032
613.25	0.0078170
613.50	0.0099765
613.75	0.010662
614.00	0.0093948
614.25	0.0098251
614.50	0.010590
614.75	0.0087175
615.00	0.0080242
615.25	0.0091478
615.50	0.0080163
615.75	0.0087254
616.00	0.0078170
616.25	0.0082712
616.50	0.0088450
616.75	0.0086617
617.00	0.0095542
617.25	0.0065023
617.50	0.0080083
617.75	0.0065262
618.00	0.0081836
618.25	0.0090761
618.50	0.0063190
618.75	0.0080083
619.00	0.0066935
619.25	0.0085103
619.50	0.0061995
619.75	0.0080481
620.00	0.0063588
620.25	0.0063269
620.50	0.0072911
620.75	0.0053070
621.00	0.0060560
621.25	0.0029802
621.50	0.0054584
621.75	0.0070999
622.00	0.0059604
622.25	0.0061118
622.50	0.0051795
622.75	0.0068369
623.00	0.0051237
623.25	0.0075461
623.50	0.0054026
623.75	0.0075461
624.00	0.0043587
624.25	0.0054026
624.50	0.0052671
624.75	0.0042791
625.00	0.0074027
625.25	0.0034981
625.50	0.0054743
625.75	0.0053468
626.00	0.0052512
626.25	0.0053389
626.50	0.0052193
626.75	0.0056018
627.00	0.0050759
627.25	0.0054345
627.50	0.0046934
627.75	0.0037770
628.00	0.0059524
628.25	0.0054823
628.50	0.0046376
628.75	0.0046376
629.00	0.0056257
629.25	0.0032591
629.50	0.0042950
629.75	0.0038567
630.00	0.0037770
630.25	0.0044464
630.50	0.0037292
630.75	0.0048209
631.00	0.0052990
631.25	0.0049484
631.50	0.0042950
631.75	0.0043269
632.00	0.0059126
632.25	0.0047970
632.50	0.0041516
632.75	0.0038727
633.00	0.0047253
633.25	0.0038408
633.50	0.0038567
633.75	0.0029324
634.00	0.0048368
634.25	0.0040241
634.50	0.0033627
634.75	0.0031635
635.00	0.0051078
635.25	0.0036336
635.50	0.0031953
635.75	0.0041037
636.00	0.0046217
636.25	0.0033069
636.50	0.0024782
636.75	0.0042631
637.00	0.0027252
637.25	0.0040878
637.50	0.0023587
637.75	0.0030918
638.00	0.0043508
638.25	0.0040320
638.50	0.0024304
638.75	0.0019921
639.00	0.0047014
639.25	0.0023268
639.50	0.0052273
639.75	0.0016335
640.00	0.0019363
640.25	0.0020399
640.50	0.0026774
640.75	0.0030360
641.00	0.0026535
641.25	0.0036097
641.50	0.0013307
641.75	0.0034424
642.00	0.0021355
642.25	0.0032113
642.50	0.0051078
642.75	0.0050520
643.00	0.0047492
643.25	0.0045659
643.50	0.0038966
643.75	0.0035858
644.00	0.00072513
644.25	0.0030758
644.50	0.0033786
644.75	0.0049564
645.00	0.0032193
645.25	0.0020080
645.50	0.0024304
645.75	0.0019045
646.00	0.0037372
646.25	0.0031157
646.50	0.0048687
646.75	0.0024304
647.00	0.0030041
647.25	0.0013228
647.50	0.0024224
647.75	0.0036336
648.00	0.0040320
648.25	0.0031475
648.50	0.0016176
648.75	0.0037452
649.00	0.0045500
649.25	0.0036097
649.50	0.0037292
649.75	0.0014024
650.00	0.0034583
650.25	0.0029483
650.50	0.0029085
650.75	0.0018885
651.00	0.0022312
651.25	0.0043269
651.50	0.0028846
651.75	0.0028766
652.00	0.0030439
652.25	0.0029404
652.50	0.0018407
652.75	0.0026933
653.00	0.0039523
653.25	0.0025897
653.50	0.0025340
653.75	0.0027730
654.00	0.0014264
654.25	0.0012112
654.50	0.0015140
654.75	0.0029483
655.00	0.0018487
655.25	0.00076497
655.50	0.0024065
655.75	0.0038647
656.00	0.00075700
656.25	0.0020320
656.50	0.0019045
656.75	0.0026933
657.00	0.0042631
657.25	0.0019921
657.50	0.0023108
657.75	0.0048209
658.00	0.00047811
658.25	0.0034503
658.50	0.0013865
658.75	0.0028925
659.00	0.0010040
659.25	0.0024702
659.50	0.0018885
659.75	0.0015299
660.00	0.0016574
660.25	0.0016096
