Wavelength (nm)	K10 abs 1
579.75	0.014514
580.00	0.012260
580.25	0.012925
580.50	0.011828
580.75	0.012525
581.00	0.0099843
581.25	0.0095357
581.50	0.0098113
581.75	0.0094978
582.00	0.010163
582.25	0.0097735
582.50	0.0093248
582.75	0.0088545
583.00	0.0099681
583.25	0.0092113
583.50	0.0073572
583.75	0.0081248
584.00	0.0074382
584.25	0.0079680
584.50	0.0052057
584.75	0.0057030
585.00	0.0080058
585.25	0.0055841
585.50	0.0067517
585.75	0.0056544
586.00	0.0053462
586.25	0.0076545
586.50	0.0060814
586.75	0.0052273
587.00	0.0051787
587.25	0.0063517
587.50	0.0060490
587.75	0.0046759
588.00	0.0049462
588.25	0.0061247
588.50	0.0053895
588.75	0.0049192
589.00	0.0047192
589.25	0.0049246
589.50	0.0047894
589.75	0.0029785
590.00	0.0027083
590.25	0.0040218
590.50	0.0034975
590.75	0.0038380
591.00	0.0036488
591.25	0.0031029
591.50	0.0038489
591.75	0.0036272
592.00	0.0031677
592.25	0.0034434
592.50	0.0030002
592.75	0.0045462
593.00	0.0033840
593.25	0.0025136
593.50	0.0026596
593.75	0.0036110
594.00	0.0036543
594.25	0.0040381
