,weight,available modification,product number,formula,absorption,emission max,solution,name,molar absorbance
379,859.01,Maleimide,681-03,C42H51N4O10S2 * Na,692,709,(in Ethanol),DY-681,"140,000"
382,852.96,Carboxylic acid,682-00,C37H46N2O12S3 * 2 Na,692,709,(in Ethanol),DY-682,"140,000"
383,950.03,NHS-ester,682-01,C41H49N3O14S3 * 2 Na,692,709,(in Ethanol),DY-682,"140,000"
384,873.06,Amino-derivative,682-02,C39H53N4O11S3 * Na,692,709,(in Ethanol),DY-682,"140,000"
385,975.08,Maleimide,682-03,C43H52N4O13S3 * 2 Na,692,709,(in Ethanol),DY-682,"140,000"
392,1065.10,Carboxylic acid,684-00,C46H47N2O15S4 * 3 Na,685,699,(in Ethanol),DY-684,"140,000"
393,1162.17,NHS-ester,684-01,C50H50N3O17S4 * 3 Na,685,699,(in Ethanol),DY-684,"140,000"
394,1085.20,Amino-derivative,684-02,C48H53N4O14S4 * 2 Na,685,699,(in Ethanol),DY-684,"140,000"
395,1187.22,Maleimide,684-03,C52H52N4O16S4 * 3 Na,685,699,(in Ethanol),DY-684,"140,000"
398,668.86,Carboxylic acid,700-00,C39H44N2O6S,707,728,(in Ethanol),DY-700,"140,000"
399,765.93,NHS-ester,700-01,C43H47N3O8S,707,728,(in Ethanol),DY-700,"140,000"
400,747.40,Amino-derivative,700-02,C41H51N4O5S * Cl,707,728,(in Ethanol),DY-700,"140,000"
401,790.99,Maleimide,700-03,C45H50N4O7S,707,728,(in Ethanol),DY-700,"140,000"
404,770.90,Carboxylic acid,701-00,C39H43N2O9S2 * Na,709,730,(in Ethanol),DY-701,"140,000"
405,867.97,NHS-ester,701-01,C43H46N3O11S2 * Na,709,730,(in Ethanol),DY-701,"140,000"
406,791.01,Amino-derivative,701-02,C41H50N4O8S2,709,730,(in Ethanol),DY-701,"140,000"
407,893.03,Maleimide,701-03,C45H49N4O10S2 * Na,709,730,(in Ethanol),DY-701,"140,000"
410,886.96,Carboxylic acid,702-00,C40H44N2O12S3 * 2 Na,709,728,(in Ethanol),DY-702,"140,000"
411,984.03,NHS-ester,702-01,C44H47N3O14S3 * 2 Na,709,728,(in Ethanol),DY-702,"140,000"
412,907.06,Amino-derivative,702-02,C42H51N4O11S3 * Na,709,728,(in Ethanol),DY-702,"140,000"
413,1009.08,Maleimide,702-03,C46H50N4O13S3 * 2 Na,709,728,(in Ethanol),DY-702,"140,000"
416,800.93,Carboxylic acid,703-00,C40H45N2O10S2 * Na,705,721,(in Ethanol),DY-703,"140,000"
